timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-27T02:20:45.843Z","51","70","100","494633","10900","17640","10306","3430","3977","1246","710",""
"2026-07-27T02:20:52.299Z","0","56","69","1052268","51019","23520","10805","5233","6235","4280","2378",""
"2026-07-27T02:20:53.865Z","26","75","74","1800428","1139312","159159","94500","73628","65275","53204","16343",""
"2026-07-27T02:20:55.677Z","0","66","67","2456853","451488","90796","64044","9258","13630","12360","9534",""
"2026-07-27T02:20:57.789Z","0","54","47","351069","257557","7668","19987","11125","16083","21820","4182",""
"2026-07-27T02:20:58.653Z","0","38","40","2032807","2029381","385279","1000588","302892","114786","470373","133631",""
"2026-07-27T02:20:59.679Z","0","61","30","1179043","448753","76399","34710","113032","86340","51514","43397",""
"2026-07-27T02:21:01.371Z","0","48","51","259982","20033","15853","4340","4882","1424","5704","1493",""
"2026-07-27T02:21:02.277Z","0","75","70","723657","45195","10149","29245","18868","6897","13241","5508",""
"2026-07-27T02:21:03.063Z","0","70","75","1489626","91456","7820","21535","9198","14171","7225","3862",""
"2026-07-27T02:21:03.843Z","51","70","75","2411377","382555","87450","122034","52929","168782","98732","41334",""
"2026-07-27T02:21:04.887Z","0","80","69","716513","63177","23258","13737","5250","7169","1948","3082",""
"2026-07-27T02:21:05.673Z","0","83","81","168840","30479","6235","69619","19997","24464","9976","10327",""
"2026-07-27T02:21:06.459Z","0","74","64","1073229","300509","32402","19890","31557","13454","5004","5255",""
"2026-07-27T02:21:07.449Z","0","66","48","507452","348986","15383","13979","22299","26032","6787","1526",""
"2026-07-27T02:21:08.763Z","0","61","20","529701","286079","13747","2367","20877","14529","12588","4070",""
"2026-07-27T02:21:09.549Z","0","38","1","716832","114002","2322","5072","18895","4279","3678","669",""
"2026-07-27T02:21:10.965Z","0","48","1","961061","73510","23207","9032","8370","8760","5896","1931",""
"2026-07-27T02:21:11.745Z","0","44","10","787500","133287","24033","17043","7451","8617","5616","2422",""
