timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-28T02:01:30.468Z","0","44","90","379124","136609","221566","157152","207517","267405","131310","10121",""
"2026-07-28T02:01:31.404Z","0","44","90","189733","3572","1475","4728","359","1957","852","1299",""
"2026-07-28T02:01:35.232Z","0","3","47","716197","138420","25891","27937","21936","12247","2969","1801",""
"2026-07-28T02:01:37.086Z","0","7","50","61860","39436","5429","3487","4628","2956","3867","745",""
"2026-07-28T02:01:38.100Z","0","1","41","181924","22659","7305","2094","3544","2709","1931","514",""
"2026-07-28T02:01:38.892Z","0","8","57","685491","101367","51620","32758","8892","14547","8942","6117",""
"2026-07-28T02:01:40.740Z","0","8","63","1640179","172089","30910","34979","34369","14301","12576","7149",""
"2026-07-28T02:01:42.666Z","0","21","57","362228","88434","31547","36110","14562","9435","4938","4336",""
"2026-07-28T02:01:44.394Z","0","23","44","173049","80237","7818","5020","7885","8313","2652","3850",""
"2026-07-28T02:01:44.922Z","25","23","44","445576","230245","24012","7572","80193","72591","12300","5854",""
"2026-07-28T02:01:45.264Z","0","26","38","768495","168427","26673","9974","10609","17923","8690","2929",""
"2026-07-28T02:01:46.830Z","0","24","53","131970","22230","7446","4831","4996","2217","1706","758",""
"2026-07-28T02:01:47.418Z","0","27","50","226203","72211","33541","18234","28104","12763","8461","3974",""
"2026-07-28T02:01:48.060Z","0","34","56","191817","12650","3874","1668","1253","3077","910","2476",""
"2026-07-28T02:01:48.858Z","0","38","70","139247","19493","11500","25013","7124","9173","6887","6091",""
"2026-07-28T02:01:49.656Z","0","43","67","1371037","130172","3216","44531","13927","23030","6814","5818",""
"2026-07-28T02:01:50.508Z","0","50","57","614996","56303","3866","8252","6938","13724","2250","4757",""
"2026-07-28T02:01:51.972Z","0","47","56","131770","28664","4303","3957","5227","5346","3907","2905",""
"2026-07-28T02:01:52.770Z","0","38","44","202475","45549","4588","8826","2823","3112","1828","638",""
"2026-07-28T02:01:54.960Z","0","34","50","2233473","735198","159354","262293","51341","81554","96891","37247",""
"2026-07-28T02:01:56.322Z","0","26","66","489529","482254","256823","272880","48649","94224","89497","48212",""
"2026-07-28T02:01:57.258Z","0","24","63","994060","174551","20803","17770","43129","23842","16008","9856",""
"2026-07-28T02:01:58.056Z","0","27","70","1326145","153404","1754","143256","42902","27307","33820","40694",""
"2026-07-28T02:01:58.848Z","0","27","69","101006","545723","246275","18343","68855","50336","72142","11308",""
"2026-07-28T02:01:59.646Z","0","26","51","23489","15069","764","1382","1407","1377","3622","995",""
"2026-07-28T02:02:00.612Z","0","24","56","66392","29310","5785","5643","4202","3580","2924","1275",""
"2026-07-28T02:02:01.619Z","51","24","56","1810201","255986","8837","55183","115848","191892","54104","19574",""
"2026-07-28T02:02:02.706Z","0","24","53","753371","62652","26721","9405","8250","8702","19238","7069",""
"2026-07-28T02:02:03.498Z","0","24","47","729853","75034","2871","13973","22669","6088","9923","1988",""
"2026-07-28T02:02:04.938Z","0","23","50","361320","341774","36881","44791","87865","25331","21007","7175",""
"2026-07-28T02:02:05.736Z","0","30","54","53187","5076","1331","2823","1339","2038","794","592",""
"2026-07-28T02:02:06.780Z","0","35","50","1845365","420052","74432","137026","200496","86369","104358","26693",""
"2026-07-28T02:02:07.854Z","0","24","48","1733556","1175638","69392","126101","30420","24422","191113","48181",""
"2026-07-28T02:02:08.652Z","0","23","57","883785","236550","17533","126512","31467","19500","30892","24727",""
"2026-07-28T02:02:09.444Z","0","11","48","359957","108519","15766","6058","4224","5721","5291","2067",""
"2026-07-28T02:02:10.926Z","0","3","35","127764","321715","7416","17062","14212","17726","20561","9931",""
"2026-07-28T02:02:11.940Z","0","14","38","772020","431476","54894","57895","23005","44361","28554","9469",""
"2026-07-28T02:02:12.750Z","0","17","27","58041","242984","21522","31775","42310","23463","40371","15633",""
"2026-07-28T02:02:13.932Z","0","14","29","321354","889069","100818","121890","73253","29921","160745","74071",""
"2026-07-28T02:02:14.748Z","26","14","29","177039","49300","21494","3814","5669","6379","13007","7829",""
"2026-07-28T02:02:15.666Z","26","14","29","253420","45043","10004","11892","9210","12292","8745","6128",""
"2026-07-28T02:02:16.494Z","0","20","48","234754","277066","123607","41502","40125","43844","43986","25464",""
"2026-07-28T02:02:17.358Z","0","24","67","1765173","24177","108549","58178","48314","25035","30011","14917",""
"2026-07-28T02:02:18.402Z","0","23","78","650665","134289","45085","80498","91001","17315","69872","21468",""
"2026-07-28T02:02:19.428Z","26","23","78","330145","562181","67751","209428","65409","52981","117546","20370",""
"2026-07-28T02:02:20.574Z","0","27","81","73199","55620","7074","13516","5383","3459","11307","6213",""
"2026-07-28T02:02:21.498Z","0","23","74","61519","71069","10003","3930","2853","5118","5002","1308",""
"2026-07-28T02:02:22.350Z","0","13","43","33928","51929","1610","2846","5403","1923","1697","1870",""
"2026-07-28T02:02:23.687Z","0","11","35","1216513","151360","34285","9282","66918","10663","13326","3712",""
"2026-07-28T02:02:24.486Z","0","8","35","3095231","519644","131007","67487","12190","19711","27930","11676",""
