timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-27T02:29:21.544Z","0","51","77","2069875","149347","3835","25462","7164","23210","11668","1578",""
"2026-07-27T02:29:22.882Z","0","40","77","600901","222571","31840","28109","7678","8143","6144","3579",""
"2026-07-27T02:29:23.740Z","0","50","66","51980","11796","7350","1953","4440","4852","4100","1513",""
"2026-07-27T02:29:24.556Z","0","53","69","155207","9427","5548","6732","6365","4050","2876","2342",""
"2026-07-27T02:29:25.660Z","0","40","78","886969","96503","28859","18089","13090","5470","2966","1380",""
"2026-07-27T02:29:26.572Z","0","48","67","540882","401916","17767","38151","65813","30570","14279","7200",""
"2026-07-27T02:29:27.562Z","0","35","63","872561","93237","19487","13239","7875","6845","4429","703",""
"2026-07-27T02:29:28.504Z","0","20","41","981561","241566","17441","7624","10448","11833","3834","2272",""
"2026-07-27T02:29:29.404Z","0","34","44","282996","18875","23752","19526","49594","9265","6965","4285",""
"2026-07-27T02:29:30.478Z","0","37","60","1029749","48069","24920","3994","19432","7218","4840","2444",""
"2026-07-27T02:29:31.690Z","0","35","75","775361","55206","56104","20050","6421","6787","4834","1876",""
"2026-07-27T02:29:32.476Z","0","41","81","52729","21798","872","3000","2348","1872","418","833",""
"2026-07-27T02:29:33.436Z","0","47","61","853012","537124","49652","19769","82959","158676","113511","22661",""
"2026-07-27T02:29:34.714Z","0","40","53","1762934","418025","61813","28035","19556","25362","37107","14701",""
"2026-07-27T02:29:35.578Z","0","48","29","1001767","267188","9290","48918","100207","34531","17310","20821",""
"2026-07-27T02:29:36.406Z","0","41","48","1834737","323458","178318","203975","136654","25170","45753","36067",""
"2026-07-27T02:29:37.300Z","0","29","70","1018888","191464","82971","101564","39839","30036","45704","47751",""
"2026-07-27T02:29:38.392Z","0","35","74","2443859","1068780","40378","244931","174522","112474","44347","19902",""
"2026-07-27T02:29:39.706Z","0","30","97","589388","25894","28434","20887","3498","6617","6744","6063",""
"2026-07-27T02:29:40.690Z","0","38","80","1371909","406719","47564","45279","102239","40100","55001","14638",""
"2026-07-27T02:29:41.560Z","0","44","83","710959","296509","342873","45310","33708","103653","45822","22038",""
"2026-07-27T02:29:42.472Z","0","47","90","1433504","259623","60646","57734","15775","39689","41104","8813",""
"2026-07-27T02:29:43.426Z","0","54","60","804179","48095","3413","4288","18417","11208","9240","8592",""
"2026-07-27T02:29:44.386Z","0","61","83","236723","36046","42087","40597","16698","16369","4502","5894",""
"2026-07-27T02:29:45.436Z","0","61","74","476217","40991","8039","13004","4237","10907","4753","1617",""
"2026-07-27T02:29:46.456Z","0","64","67","110384","123899","33510","9100","36022","24229","6519","2154",""
"2026-07-27T02:29:47.350Z","0","69","88","504891","15623","14732","10949","13158","15023","10609","7361",""
"2026-07-27T02:29:48.388Z","0","75","69","41575","53401","12244","6302","18273","14399","8858","4255",""
"2026-07-27T02:29:49.402Z","0","69","54","97196","52072","2383","4508","1738","5950","4177","1280",""
"2026-07-27T02:29:50.698Z","0","56","64","99812","76338","31273","13202","3329","4129","1412","1145",""
"2026-07-27T02:29:51.688Z","0","44","50","27753","91657","9037","11038","9083","10573","3015","3565",""
"2026-07-27T02:29:52.468Z","0","30","61","82999","38142","21006","8747","3367","3716","4126","6066",""
"2026-07-27T02:29:53.530Z","0","38","74","149563","42525","3572","15610","9397","12467","5586","2863",""
"2026-07-27T02:29:54.370Z","0","50","70","136418","21744","9632","6667","6434","5573","2555","2942",""
"2026-07-27T02:29:55.378Z","0","56","77","440217","49123","12569","8964","15967","13610","17427","3841",""
"2026-07-27T02:29:56.458Z","0","74","83","63997","25546","35793","17718","2854","21118","14037","3311",""
"2026-07-27T02:29:57.760Z","0","84","78","53732","18092","2209","7527","20992","17536","8965","3455",""
"2026-07-27T02:29:58.690Z","0","94","69","513731","75435","24973","1865","8617","37059","16354","3841",""
"2026-07-27T02:29:59.476Z","0","90","78","42425","33868","7570","33070","20001","8814","10690","1354",""
"2026-07-27T02:30:00.304Z","0","69","56","51060","226409","18584","24175","9120","11053","23766","3113",""
"2026-07-27T02:30:01.300Z","51","69","56","718820","109739","179431","138711","72545","44013","28792","30284",""
"2026-07-27T02:30:02.332Z","0","56","66","1035852","30142","3993","18111","14496","7830","6092","2277",""
"2026-07-27T02:30:03.794Z","0","38","70","246504","154559","39366","20618","4586","11846","5796","2045",""
"2026-07-27T02:30:04.934Z","0","35","75","154286","224369","233725","39679","124840","43964","21003","7690",""
"2026-07-27T02:30:05.720Z","0","37","83","743651","372051","129122","19789","32875","26569","17780","11454",""
"2026-07-27T02:30:06.506Z","0","23","70","712639","1606374","47135","204570","32887","80436","54220","35931",""
"2026-07-27T02:30:07.514Z","0","35","74","2154609","474361","191723","86013","82086","124019","39483","20170",""
"2026-07-27T02:30:08.546Z","0","38","80","40317","7686","4484","20572","2171","3625","3035","973",""
"2026-07-27T02:30:09.332Z","0","64","81","529305","3723","9124","1688","3785","11815","9231","3021",""
"2026-07-27T02:30:10.286Z","0","80","100","121435","45346","45885","17330","7780","19980","16266","5574",""
"2026-07-27T02:30:11.528Z","0","64","100","318044","103039","52686","16831","5838","7100","10210","5189",""
"2026-07-27T02:30:12.422Z","0","43","67","599828","446101","29911","11887","22750","6099","1718","506",""
"2026-07-27T02:30:13.472Z","0","14","67","48931","74442","42519","5001","4673","4792","16473","3108",""
"2026-07-27T02:30:14.258Z","0","1","48","2214235","459760","2798","72414","16321","26191","27717","11949",""
"2026-07-27T02:30:15.458Z","0","8","41","232671","6937","1772","672","557","737","405","236",""
"2026-07-27T02:30:16.310Z","0","23","64","155804","40410","17862","32172","14927","5996","3464","645",""
"2026-07-27T02:30:17.210Z","0","26","63","413674","194502","89589","21379","22573","16696","5559","2060",""
"2026-07-27T02:30:18.140Z","0","27","69","126733","140711","30366","14563","10681","9071","3040","2545",""
"2026-07-27T02:30:19.166Z","0","21","64","264024","135205","20091","4754","11193","6094","3479","1404",""
"2026-07-27T02:30:20.366Z","0","21","61","336149","10162","5089","6679","4795","1498","2136","874",""
